GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentShieldTimeoutException,0,11,0,0,0,4,0,2,0,2
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentShieldException,0,9,0,0,0,4,0,2,0,2
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentVerifyException,0,17,0,0,0,6,0,3,0,3
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentShieldClient,0,29,0,0,0,10,0,6,0,6
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentShieldClient.Builder,16,144,6,10,2,35,5,11,0,8
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentVerifyOutcome,4,40,0,2,1,10,1,7,1,6
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentShieldApiException,3,83,2,8,1,19,3,11,1,8
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk,ConsentVerifyException.FailureCause,0,21,0,0,0,4,0,1,0,1
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk.internal,RetryInterceptor,44,100,12,14,13,31,7,10,0,4
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk.spring,ConsentShieldProperties,0,51,0,0,0,20,0,11,0,11
ConsentShield Java SDK — Spring Boot starter,com.consentshield.sdk.spring,ConsentShieldAutoConfiguration,0,21,0,0,0,8,0,2,0,2
